id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty,npxG,npxGI
603608,0,0,0,0.0,90,11700,92,DL,Vitinho,h,0,0,0,0,1,0,0.0580548197031021,0.1193123906850814,0.0612575747072696,4,22275,5,Burnley,0.311032,2.40074,0.311032,0.0580548197031021,1,0,0.0,0.0580548197031021
603609,0,0,1,0.0580548197031021,66,10620,92,MR,Luca Koleosho,h,0,0,603616,0,2,0,0.158873975276947,0.2169287949800491,0.0,8,22275,5,Burnley,0.311032,2.40074,0.311032,0.2169287949800491,1,0,0.0580548197031021,0.216928794980049
603610,0,0,0,0.0,90,1018,92,MC,Josh Cullen,h,0,0,0,0,0,0,0.0,0.0639837458729744,0.0639837458729744,9,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603611,0,0,0,0.0,90,8285,92,MC,Sander Berge,h,0,0,603618,0,0,0,0.0,0.0580548197031021,0.0580548197031021,9,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603612,0,0,2,0.1147281676530838,90,7498,92,ML,Lyle Foster,h,0,0,603617,0,1,0,0.0639837458729744,0.2367667406797409,0.1220385655760765,10,22275,5,Burnley,0.311032,2.40074,0.311032,0.1787119135260582,1,0,0.1147281676530838,0.1787119135260582
603613,0,0,1,0.0612575747072696,66,11701,92,FW,Zeki Amdouni,h,0,0,603615,0,0,0,0.0,0.2169287949800491,0.1556712239980697,15,22275,5,Burnley,0.311032,2.40074,0.311032,0.0612575747072696,1,0,0.0612575747072696,0.0612575747072696
603615,0,0,1,0.0639837458729744,24,11703,92,Sub,Anass Zaroury,h,0,1,0,603613,1,0,0.0130081614479422,0.0639837458729744,0.0,17,22275,5,Burnley,0.311032,2.40074,0.311032,0.0769919073209166,1,0,0.0639837458729744,0.0769919073209166
603618,0,0,0,0.0,1,8323,92,Sub,Josh Brownhill,h,0,0,0,603611,0,0,0.0,0.0,0.0,17,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603616,0,0,1,0.0130081614479422,24,5355,92,Sub,Jacob Bruun Larsen,h,0,0,0,603609,0,0,0.0,0.0639837458729744,0.0639837458729744,17,22275,5,Burnley,0.311032,2.40074,0.311032,0.0130081614479422,1,0,0.0130081614479422,0.0130081614479422
603614,0,0,0,0.0,11,11702,92,Sub,Benson Manuel,h,0,0,0,603606,0,0,0.0,0.0639837458729744,0.0639837458729744,17,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
603617,0,0,0,0.0,1,790,92,Sub,Nathan Redmond,h,0,0,0,603612,0,0,0.0,0.0,0.0,17,22275,5,Burnley,0.311032,2.40074,0.311032,0.0,1,0,0.0,0.0
604405,0,0,0,0.0,90,9098,80,GK,Robert Sánchez,h,0,0,0,0,0,0,0.0,0.7675428986549377,0.7675428986549377,1,22283,6,Chelsea,1.93258,1.29994,1.93258,0.0,1,0,0.0,0.0
604408,0,0,1,0.0478998906910419,90,10805,80,DC,Levi Colwill,h,0,0,0,0,2,0,0.3410254120826721,0.9182120561599731,0.635908305644989,3,22283,6,Chelsea,1.93258,1.29994,1.93258,0.388925302773714,1,0,0.0478998906910419,0.388925302773714
604406,0,0,0,0.0,90,3288,80,DC,Thiago Silva,h,0,0,0,0,1,0,0.0478998906910419,0.577186644077301,0.577186644077301,3,22283,6,Chelsea,1.93258,1.29994,1.93258,0.0478998906910419,1,0,0.0,0.0478998906910419
