id,goals,own_goals,shots,xG,time,player_id,understat_team_id,position,player,h_a,yellow_card,red_card,roster_in,roster_out,key_passes,assists,xA,xGChain,xGBuildup,positionOrder,fixture_id,team_id,team_name,h_xg,a_xg,team_xG,xGI,gameweek,penalty_attempt,penalty_scored,npxG,npxGI
666347,0,0,1,0.0241545420140028,86,8272,220,AMC,João Pedro,a,0,0,666350,0,1,0,0.3820148408412933,0.5130051374435425,0.1068357676267623,12,26605,4,Brighton,0.405325,1.79083,1.79083,0.4061693828552961,1,0,0,0.0241545420140028,0.4061693828552961
666348,1,0,4,1.2435791492462158,90,10806,220,AML,Kaoru Mitoma,a,0,0,666351,0,0,0,0.0,1.4126379489898682,0.962400496006012,13,26605,4,Brighton,0.405325,1.79083,1.79083,1.2435791492462158,1,0,0,1.2435791492462158,1.2435791492462158
666349,1,0,2,0.2158164530992508,90,501,220,FW,Danny Welbeck,a,0,0,0,0,2,1,0.1216224357485771,1.4775506258010864,1.2469474077224731,15,26605,4,Brighton,0.405325,1.79083,1.79083,0.3374388888478279,1,0,0,0.2158164530992508,0.3374388888478279
666351,0,0,0,0.0,1,11385,220,Sub,Yasin Ayari,a,0,0,0,666348,0,0,0.0,0.0,0.0,17,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666354,1,0,2,0.2123417407274246,44,11710,220,Sub,Simon Adingra,a,0,0,0,666346,0,0,0.0,0.2123417407274246,0.1148738488554954,17,26605,4,Brighton,0.405325,1.79083,1.79083,0.2123417407274246,1,0,0,0.2123417407274246,0.2123417407274246
666352,0,0,0,0.0,10,7699,220,Sub,Adam Webster,a,0,0,0,666342,0,0,0.0,0.0974678918719291,0.0974678918719291,17,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666350,0,0,0,0.0,4,10036,220,Sub,Jeremy Sarmiento,a,0,0,0,666347,0,0,0.0,0.0974678918719291,0.0974678918719291,17,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
666353,0,0,0,0.0,4,7988,220,Sub,Billy Gilmour,a,0,0,0,666345,0,0,0.0,0.0974678918719291,0.0974678918719291,17,26605,4,Brighton,0.405325,1.79083,1.79083,0.0,1,0,0,0.0,0.0
667010,0,0,0,0.0,90,9098,80,GK,Robert Sánchez,h,0,0,0,0,0,0,0.0,0.0,0.0,1,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667011,0,0,0,0.0,90,9017,80,DR,Malo Gusto,h,0,0,0,0,0,0,0.0,0.1609303951263427,0.1609303951263427,2,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667013,0,0,0,0.0,90,10805,80,DC,Levi Colwill,h,0,0,0,0,0,0,0.0,0.0202604681253433,0.0202604681253433,3,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667012,0,0,1,0.0528734661638736,90,7589,80,DC,Wesley Fofana,h,0,0,0,0,0,0,0.0,0.0728020817041397,0.0728020817041397,3,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0528734661638736,1,0,0,0.0528734661638736,0.0528734661638736
667014,0,0,0,0.0,86,7134,80,DL,Marc Cucurella,h,0,0,667021,0,0,0,0.0,0.1808259338140487,0.1808259338140487,4,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667016,0,0,1,0.0231299567967653,90,9453,80,DMC,Moisés Caicedo,h,1,0,0,0,1,0,0.0349465608596801,0.2389024496078491,0.2039558887481689,7,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0580765176564455,1,0,0,0.0231299567967653,0.0580765176564455
667015,0,0,0,0.0,73,10004,80,DMC,Romeo Lavia,h,0,0,667023,0,1,0,0.5455207824707031,0.6766745448112488,0.1311538070440292,7,26610,5,Chelsea,1.06123,1.18038,1.06123,0.5455207824707031,1,0,0,0.0,0.5455207824707031
667017,0,0,2,0.0622015334665775,90,8497,80,AMR,Cole Palmer,h,0,0,0,0,2,0,0.0760034248232841,0.3921412527561188,0.3068097531795501,11,26610,5,Chelsea,1.06123,1.18038,1.06123,0.1382049582898616,1,0,0,0.0622015334665775,0.1382049582898616
667018,0,0,3,0.2010864019393921,90,11356,80,AMC,Enzo Fernández,h,0,0,0,0,0,0,0.0,0.2242163568735122,0.0231299567967653,12,26610,5,Chelsea,1.06123,1.18038,1.06123,0.2010864019393921,1,0,0,0.2010864019393921,0.2010864019393921
667019,0,0,1,0.1259838342666626,65,3300,80,AML,Christopher Nkunku,h,0,0,667022,0,1,0,0.0272549726068973,0.2260408848524093,0.1000570505857467,13,26610,5,Chelsea,1.06123,1.18038,1.06123,0.1532388068735599,1,0,0,0.1259838342666626,0.1532388068735599
667020,0,0,1,0.5455207824707031,73,10048,80,FW,Nicolas Jackson,h,0,0,667024,0,2,0,0.1987859159708023,0.7715616226196289,0.0272549726068973,15,26610,5,Chelsea,1.06123,1.18038,1.06123,0.7443066984415054,1,0,0,0.5455207824707031,0.7443066984415054
667022,0,0,1,0.0504299737513065,25,6382,80,Sub,Pedro Neto,h,0,0,0,667019,2,0,0.1282843202352523,0.1787142902612686,0.108023852109909,17,26610,5,Chelsea,1.06123,1.18038,1.06123,0.1787142939865589,1,0,0,0.0504299737513065,0.1787142939865589
667023,0,0,0,0.0,17,9739,80,Sub,Kiernan Dewsbury-Hall,h,0,0,0,667015,0,0,0.0,0.0,0.0,17,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667021,0,0,0,0.0,4,11383,80,Sub,Renato Veiga,h,0,0,0,667014,0,0,0.0,0.0,0.0,17,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
667024,0,0,0,0.0,17,11633,80,Sub,Marc Guiu,h,0,0,0,667020,0,0,0.0,0.0,0.0,17,26610,5,Chelsea,1.06123,1.18038,1.06123,0.0,1,0,0,0.0,0.0
666809,0,0,0,0.0,90,7702,78,GK,Dean Henderson,a,0,0,0,0,0,0,0.0,0.0,0.0,1,26609,6,Crystal Palace,1.38064,1.14757,1.14757,0.0,1,0,0,0.0,0.0
